Date,Day,Time,Anandmay Sports Club | Sector 128 · Court 1 (30m),Anandmay Sports Club | Sector 128 · Court 2 (30m),Arena 44 · Hardy's Court 1 (30m),Arena 44 · Hardy's Court 2 (30m),Arena 44 · Hardy's Court 3 (30m),Arena 44 · Hardy's Court 4 (30m),Arena 44 · Court 1 (30m),Arena 44 · Court 2 (30m),Arena 44 · Court 3 (30m),CoPlay RISE | Sec 73 Noida · Court 1 (30m),CoPlay RISE | Sec 73 Noida · Court 2 (30m),CoPlay | Sec 50 Noida · Court 1 (30m),CoPlay | Sec 50 Noida · Court 2 (30m),CoPlay | Sec 50 Noida · Court 3 (30m),Crickdome · Court 1 (30m),Crickdome · Court 2 (30m),Dinking Zone One29 · Court 1 (30m),Dinking Zone One29 · Court 2 (30m),Dinking Zone One29 · Court 3 (30m),Downtown Pickleball | Sector 37 · Pickleball Court (60m),Heat Sports Arena 150 · Court 1 (30m),Heat Sports Arena 150 · Court 2 (30m),Noida Indoor Stadium · Court 1 (60m),Noida Indoor Stadium · Court 2 (60m),Noida Indoor Stadium · Court 3 (60m),Noida Pickleball Courts | Sec-100 · Court 1 (30m),Noida Pickleball Courts | Sec-100 · Court 2 (30m),Pickit | Vijay Sri Academy · Court 1 (60m),Pickit | Vijay Sri Academy · Court 2 (60m),Pickit | Vijay Sri Academy · Court 3 (60m),Pickle Pros | Noida · Pickleball Court 1 (30m),Pickle Pros | Noida · Pickleball Court 2 (30m),Pickle Pros | Noida · Pickleball Court 3 (30m),Pickle Pros | Noida · Pickleball Court 4 (30m),Pickleflow Social · Court 1 (30m),Pickleflow Social · Court 2 (30m),Pickleflow Social · Court 3 (30m),Pickleplay 121 | Indoor Arena · Court 1 (60m),Pickleplay 121 | Indoor Arena · Court 2 (60m),Pickleplay 121 | Indoor Arena · Court 3 (60m),Pitch Please X TSG Sports Arena · Court 1 (30m),Pitch Please X TSG Sports Arena · Court 2 (30m),PlayAll BSIC Noida 46 · Court 1 (30m),PlayAll BSIC Noida 46 · Court 2 (30m),PlayAll BSIC Noida 46 · Court 3 (30m),PlayAll MPS Noida 11 · Court 1 (60m),PlayAll MPS Noida 11 · Court 2 (60m),PlayAll MPS Noida 11 · Court 3 (60m),PlayAll Noida 105 · Court 1 (60m),PlayAll Noida 105 · Court 2 (60m),PlayAll Noida 105 · Court 3 (60m),PlayAll Noida 73 · Court 1 (60m),PlayAll Noida 73 · Court 2 (60m),PlayAll Noida 73 · Court 3 (60m),PlayAll Noida 73 · Court 4 (60m),PlayLife | Sector 163 · Pickleball Court 1 (30m),PlayLife | Sector 163 · Pickleball Court 2 (30m),PlayLife | Sector 163 · Pickleball Court 3 (30m),Rally N Roast | Sector 141 · Court 1 (Blue) (30m),Rally N Roast | Sector 141 · Court 2 (Pink) (30m),Rally N Roast | Sector 141 · Court 3 (Blue) (30m),Sky Nine Rackets · Court 1 (30m),Sky Nine Rackets · Court 2 (30m),Sky Nine Rackets · Court 3 (30m),Sky Nine Rackets · Court 4 (30m),Sky Nine Rackets · Court 5 (30m),Spodium Arena | Sector 29 · Court 1 (30m),Spodium Arena | Sector 29 · Court 2 (30m),Spodium Arena | Sector 29 · Court 3 (30m),Spodium Arena | Sector 29 · Court 4 (30m),Spuddy Multisports Academy | Noida · Pickleball (Indoor) (60m),The Box Cage · Court 1 (30m),The Box Cage · Court 2 (30m),The Box Cage · Court 3 (30m),The Box Cage · Court 4 (30m),Zyng Gallant Sports Arena · Pickleball Courts (Outdoor) (30m)
23 Sep 2026,Wed,07:00 pm,Not Booked,Not Booked,Booked,Not Booked,Not Booked,Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Booked,Not Booked,Not Booked,Filling Fast,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked
23 Sep 2026,Wed,07:30 pm,Not Booked,Not Booked,Booked,Booked,Booked,Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,,,,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked
23 Sep 2026,Wed,08:00 pm,Not Booked,Not Booked,Booked,Booked,Booked,Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Booked,Not Booked,Not Booked,Filling Fast,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked
23 Sep 2026,Wed,08:30 pm,Not Booked,Not Booked,Booked,Booked,Booked,Booked,Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,,,,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked
23 Sep 2026,Wed,09:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Booked,Not Booked,Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Filling Fast,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked
23 Sep 2026,Wed,09:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,,,,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked
23 Sep 2026,Wed,10:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,
23 Sep 2026,Wed,10:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,,,,Not Booked,Not Booked,,,,,,,,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,
23 Sep 2026,Wed,11:00 pm,Not Booked,Not Booked,,,,,,,,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,
23 Sep 2026,Wed,11:30 pm,Not Booked,Not Booked,,,,,,,,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,,,,Not Booked,Not Booked,,,,,,,,Not Booked,Not Booked,Not Booked,,,,Not Booked,Not Booked,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,,,,,,,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,,Not Booked,Not Booked,Not Booked,Not Booked,
